network,address,entity,status,source,source_date,checked_at,notes
bitcoin,bc1q2f0tczgrukdxjrhhadpft2fehzpcrwrz549u90,Avalanche Bitcoin Bridge,historical_retired,https://support.avax.network/en/articles/6349640-where-can-i-find-support-for-the-avalanche-bitcoin-bridge,2026-02-02,2026-09-09,Historical reference only; not a Liquid address; active date range not established by this file
avalanche,0xF5163f69F97B221d50347Dd79382F11c6401f1a1,Avalanche Bitcoin Bridge,historical_retired,https://support.avax.network/en/articles/6349640-where-can-i-find-support-for-the-avalanche-bitcoin-bridge,2026-02-02,2026-09-09,Historical reference only; not a Liquid address; active date range not established by this file
